%%index real_part   imaginary_part
14014 14014 14014
1 47.07 50.71
2 12.43 72.11
3 75.07 9.4
4 78.48 17.81
5 38.14 43.52
6 19.01 7.42
7 38.16 52.44
8 85.94 65.29
9 60.18 24.76
10 76.47 84.39
11 82.41 23.14
12 5.8 64.73
13 35.05 38.59
14 32.17 1.49
15 44.55 31.92
16 82.63 52.52
17 4.15 5.62
18 66.54 60.58
19 43.91 79.23
20 2.27 59.03
21 31.97 82.06
22 14.02 21.29
23 0.58 70.14
24 60.42 13.97
25 63.88 26.28
26 14.95 16.41
27 46.66 25.82
28 29.93 72.27
29 73.76 81.71
30 27.63 27.62
31 45.66 32.31
32 3.45 75.78
33 15.88 49.82
34 43.05 70
35 8.55 59.8
36 55.86 10.84
37 32.13 40.52
38 76.18 35.4
39 49.37 84.23
40 76.04 16.12
41 32.54 78.78
42 70.12 4.99
43 77.26 44.72
44 40.44 65.57
45 7.19 30.54
46 28.38 33.59
47 74.9 52.85
48 16.67 31.83
49 67.35 4.78
50 64.58 25.24
51 36.09 75.9
52 81.95 85.96
53 35.37 33.74
54 83.5 72.13
55 53.78 50.26
56 8.56 73.54
57 44.05 51.84
58 10.56 78.68
59 23.77 0.83
60 31.37 51
61 84.6 30.96
62 83.82 25.27
63 57.11 73.5
64 78.28 66.01
65 56.78 3.98
66 79.89 22.39
67 22.35 6.87
68 6.13 41.36
69 79.01 57.72
70 21.99 3.63
71 77.17 46.79
72 12.63 30.55
73 74.76 35.22
74 1.57 23.2
75 39.72 12.53
76 9.02 32.95
77 23.74 3.84
78 42.86 58.36
79 38.37 80.85
80 50.36 0.67
81 23.06 9.15
82 67.54 9.77
83 51.13 45.41
84 68.66 39.2
85 42.83 44.14
86 4.94 56.17
87 52.24 85.53
88 0.27 69.09
89 57.81 41
90 19.06 1.85
91 0.32 11.54
92 15.38 28.08
93 0.44 24.06
94 70.44 58.25
95 58.92 4.33
96 13.49 34.8
97 44.57 47.5
98 58.43 46.55
99 85.75 61.22
100 19.36 41.09
101 62.78 8.11
102 7.64 75.82
103 58.92 29.03
104 35.55 7.91
105 61.28 82.25
106 7.79 54.61
107 48.21 61.6
108 85.67 74.7
109 12.47 48.65
110 52.99 35.63
111 70.43 36.91
112 84.41 32
113 44.07 80.52
114 55.74 56.84
115 63.46 43.83
116 17.46 75.1
117 30.45 40.24
118 34.79 25.1
119 84.53 54.89
120 51.14 70.35
121 4.48 59.82
122 0.94 24.46
123 13.16 52.7
124 15.35 52.13
125 1.76 77.15
126 28.06 33.86
127 65.86 72.19
128 66.71 77.99
129 14.35 75.46
130 84.81 1.97
131 42.6 77.81
132 83.58 16.27
133 6.89 73.05
134 41.94 83.89
135 68.24 5.42
136 30.76 58.6
137 83.06 72.73
138 4.95 31.71
139 49.36 10.22
140 52.89 20.3
141 54.17 51.13
142 2.84 80.95
143 38.46 85.55
144 75.01 35.08
145 37.05 52.82
146 10.15 73.82
147 55.61 79.65
148 66.7 7.73
149 57.15 62.5
150 67.93 74.16
151 46.77 39.39
152 77.64 64.21
153 61.44 43.83
154 19.58 82.59
155 68.42 24.81
156 75.94 37.99
157 32.95 2.11
158 53.18 44.3
159 79.38 71.41
160 3.75 7.72
161 47.06 30.44
162 24.09 13.91
163 73.16 16.68
164 79.18 56.32
165 10 44.31
166 49.23 26.63
167 56.37 56.77
168 66.13 6.39
169 54.51 31.81
170 22.14 51.23
171 3.22 2.45
172 4.56 63.6
173 21.91 1.69
174 38.63 23.26
175 30.98 15.29
176 45.73 42.38
177 21.81 78.05
178 60.25 35.35
179 57.19 8.98
180 53.29 53.43
181 45.59 67.19
182 37.97 68.04
183 74.44 15.96
184 13.29 69.62
185 0.37 8.47
186 10.92 35.44
187 64.56 3.59
188 56.81 15.48
189 4.26 0.47
190 67.29 60.96
191 17.34 35.25
192 78.82 78.54
193 27.89 39.16
194 13.66 53.07
195 72.02 85.08
196 31.8 32.47
197 14.52 83.13
198 64.61 69.77
199 18.91 54.48
200 62.95 77.91
