%%index real_part   imaginary_part
14590 14590 14590
1 30.259 26.854
2 -10.965 44.815
3 50.985 -2.052
4 46.351 -13.747
5 30.413 9.905
6 -18.873 30.815
7 -32.736 3.344
8 -14.206 41.88
9 -31.255 24.935
10 -32.849 -13.6
11 -22.595 -15.039
12 27.261 -6.673
13 -10.788 28.497
14 12.749 -21.304
15 0.956 25.743
16 -17.237 -23.329
17 -20.538 -22.231
18 15.15 49.18
19 10.712 40.745
20 26.536 31.185
21 -34.221 -5.598
22 -35.822 16.861
23 -17.835 36.685
24 -36.408 25.781
25 -21.502 -23.204
26 -14.468 -3.753
27 -33.179 -0.898
28 25.398 44.445
29 19.197 9.995
30 15.477 2.854
31 -32.288 19.695
32 -12.069 -16.513
33 -17.365 36.535
34 30.633 -16.274
35 -36.01 14.932
36 -15.177 22.433
37 -27.946 -23.396
38 23.017 -17.091
39 -31.295 -19.615
40 2.212 41.505
41 26.075 27.556
42 -26.206 -8.617
43 -21.924 -27.238
44 -40.452 9.435
45 -21.624 -4.435
46 43.905 -4.654
47 -7.233 -17.826
48 30.276 20.744
49 20.507 -3.547
50 -37.007 -16.191
51 -35.987 12.603
52 -13.373 -5.357
53 46.005 -2.252
54 15.195 -29.504
55 27.053 -5.711
56 5.193 37.218
57 -27.632 6.505
58 -1.202 47.141
59 -6.751 -14.149
60 34.867 4.007
61 28.528 29.617
62 5.381 46.947
63 0.275 24.949
64 -19.689 17.709
65 -14.457 17.531
66 14.047 -24.368
67 -8.891 36.234
68 -32.347 -10.376
69 49.652 18.393
70 44.596 10.653
71 48.135 -8.89
72 -18.596 28.457
73 49.949 0.417
74 -39.839 -8.892
75 -9.792 -34.102
76 9.835 -29.275
77 -20.393 12.354
78 34.441 32.363
79 -23.788 16.195
80 -8.427 46.006
81 39.078 -15.47
82 -7.815 -27.909
83 16.02 4.964
84 40.367 34.176
85 -33.779 19.802
86 -12.717 8.591
87 -12.943 32.107
88 -11.267 -34.008
89 30.487 32.964
90 -41.812 4.126
91 -39.806 -9.081
92 16.559 15.986
