%%index real_part   imaginary_part
5413 5413 5413
1 26.2 7.87
2 19.58 28.85
3 8.98 16.82
4 4.5 17.55
5 6.03 8.52
6 11.65 29.96
7 21.9 27.18
8 27.94 25.11
9 1.18 17.37
10 15 8.3
11 16.82 27.01
12 11.63 10.18
13 19.6 28.44
14 6.61 25.86
15 0.37 29.02
16 16.41 8.06
17 16.43 6.1
18 22.92 15.51
19 12.59 25.41
20 1.93 27.43
21 4.91 18.62
22 25.32 25.1
23 29.74 6.33
24 23.71 0.78
25 9.08 30.92
26 5.45 18.23
27 7.93 5.42
28 13.38 17.08
29 22.46 27.54
30 4.08 20
31 7.58 2.35
32 8.45 0.01
33 15.53 24.01
34 17.42 10.9
35 6.33 28.12
36 26.26 30.87
37 3.49 22.76
38 29.1 19.59
39 20.37 1.23
40 0.15 0.33
41 30.08 8.98
42 14.4 17.12
43 2.2 6.02
44 13.08 27.79
45 15.79 4.18
46 6.54 28.68
47 28.69 23.37
48 15.38 26.51
49 5.41 12.22
50 19.86 12.32
51 11.19 11.74
52 14.03 14.13
53 1.72 14.68
54 27.44 22.65
55 22.98 1.61
56 10.59 7.11
57 24.24 0.58
58 6.6 4.52
59 0.31 5.96
60 10.15 31.2
61 27.88 16.1
62 18.99 16.69
63 11.2 4.1
64 16.32 13.89
65 26.21 28.14
66 7.88 4.19
67 29.84 16.92
68 11.12 1.43
69 24.08 11.08
70 12.69 6.56
71 25.2 26.58
72 27.17 2.81
73 7.33 17.44
74 23.4 13.29
75 12.5 19.16
76 14.78 13.07
77 29.76 19.9
78 24 1.77
79 27.18 20.49
80 16.63 19.85
81 3.56 21.39
82 17.83 4.03
83 16.99 1.4
84 12.48 28.95
85 15.04 9.07
86 3.66 4.69
87 19.02 8.24
88 25.68 10.35
89 23.64 26.35
90 25.03 28.6
91 9.68 15.66
92 3.57 7.81
93 21.1 18.96
94 18.97 7.09
95 26.94 16.28
96 17.19 15.12
97 30.68 30.5
98 11.42 3.02
99 31.98 15.67
100 4.26 3.42
101 8.12 26.54
102 2.78 19.44
103 29.79 6.66
104 1.02 28.46
105 4.58 21.44
106 5.1 26.05
107 13.39 14.26
108 12.75 20.19
109 27.29 2.49
110 18.78 31.72
111 14.85 22.23
112 0.26 3.97
113 18.52 25.05
114 8.72 11.68
115 15.11 30.02
116 24.56 24.5
117 11.95 2.75
118 9.41 27.34
119 3.32 9.74
120 31.18 21.95
121 27.53 7.9
122 1.69 15.81
123 4 8.92
124 22.93 14.44
125 25.68 31.29
126 1.05 9.71
127 25.21 20.05
128 13.1 1.31
129 24.51 11.73
130 9.75 1.34
131 25.85 19.14
132 21.89 13.83
133 9.17 5.8
134 15.54 10.83
135 12.3 24.01
136 11.43 26.25
137 21.58 7.83
138 28.27 13.12
139 7.08 25.58
140 4.4 30.73
141 8.44 0.77
142 0.34 5.45
143 18.28 13.17
144 24.9 13.45
145 14.79 10.79
146 29.94 14.17
147 7.52 8.64
148 14.44 31.35
149 21.7 16.69
150 20.22 9.51
151 15.28 2.01
152 21.36 31.66
153 24.3 4.86
154 30.44 29.16
155 27.89 10.91
156 23.2 14.36
157 19.81 15.85
158 29.03 23.54
159 4.99 17.61
160 28.41 1.45
161 27.15 19.79
162 7.95 5.87
163 16.74 2.67
