%%index real_part   imaginary_part
10095 10095 10095
1 2728.37 -3607
2 -3003.96 3508.32
3 5475.17 1730.77
4 -4264.81 -2869.68
5 -5227 2043.52
6 5476.85 -1728.4
7 -2045.29 3802.59
8 -5511.19 1679.19
9 -3484.14 -3305.1
10 -5618.33 -1513.18
11 3023.17 -3500.98
12 2914.31 -3541.77
13 -4679.02 -2566.82
14 -3397.54 -3344.93
15 -5627.83 1497.41
16 4569.18 -2653.31
17 -933.03 -3991.49
18 4826.05 2442.83
19 -2236.49 -3754.44
20 -3768.07 -3163.62
21 -3015.88 -3503.77
22 2211.87 3760.92
23 5801.77 -1165.61
24 3152.67 -3449.84
25 612.03 -4019
26 -4204.41 2909.02
27 -3129.03 3459.39
28 6012.8 500.54
29 -2945.82 3530.16
30 -3635 3232.08
31 -483.76 -4026.77
32 4857.51 -2414.96
33 -5901.72 915.831
34 -454.51 4028.28
35 -5736.24 -1301.8
36 -4478.39 -2721.23
37 -4735.83 -2520.09
38 2494.86 3681.37
39 3266.66 -3402.38
40 -4476.36 2722.72
41 -2202.33 -3763.4
42 -1208.2 3958.55
43 927.32 -3992.08
44 -2557.74 3662.15
45 5178.49 -2097.69
46 558.89 -4022.44
47 1067.61 3976.47
48 2416.23 -3704.61
49 -2534.22 -3669.41
50 -4495.62 2708.58
51 6009.5 517.854
52 -5773.21 -1227.02
53 2517.64 3674.47
54 3785.04 3154.61
55 -4928.59 2350.08
56 501.33 4025.81
57 5085.16 -2196.83
58 -1891.64 -3837.78
59 4733.02 2522.43
60 2696.65 -3617.58
61 -3736.02 -3180.47
62 -2275.9 -3743.9
63 -1433.31 3925.03
64 -5369.49 -1872.14
65 4161.41 -2936.37
66 -1804.84 -3856.31
67 5356.2 -1888.99
68 4855.26 2416.97
69 5374.93 -1865.19
70 -5863.34 -1019.53
71 4737.85 -2518.4
72 719.81 4011.06
73 2816.89 -3576.63
74 -4156.93 -2939.19
75 -1238.66 -3954.36
76 -3559.08 -3269.42
77 5618.08 1513.59
78 2424.25 -3702.28
79 -2452.83 3693.91
80 -4757.05 -2502.26
81 6033.06 -376.927
82 3653.31 -3222.89
83 -2488.08 3683.41
84 -2476.96 3686.74
85 -5664.5 1434.64
86 4861.29 -2411.58
87 4887.16 2388.23
88 -3027.79 -3499.2
89 -1174.81 -3963.01
90 2320.75 -3731.64
91 -4843.74 -2427.22
92 -4680.31 -2565.77
93 625.4 -4018.09
94 -1911.78 3833.34
95 50.47 4039.52
96 -5261.86 2003.36
97 3751.83 -3172.19
98 -4357.53 -2807.09
99 -653.77 -4016.08
100 -1496.45 -3914.54
101 4949.41 -2330.55
102 1892.01 -3837.69
103 3421.58 3334.02
104 3717.96 3189.86
105 3457.12 3317.68
106 -3877.7 -3104.19
107 739.31 -4009.48
108 3978.54 -3046.94
109 2161.14 -3774
110 1220.91 -3956.81
111 5011.96 -2270.36
112 4871.31 2402.57
113 -971.3 -3987.43
114 3599.5 -3249.69
115 -1374.37 3934.38
116 6019.41 -463.888
117 2478.42 3686.31
118 3438.03 -3326.49
119 4126.54 2958.16
